source,destination,status,size_mb,sha256,reason
E:\Projects\ECM\ecm_latent_space\src\inspect_downloaded_data.py,E:\Projects\ECM\ecm-program-atlas\pipelines\legacy\inspect_downloaded_data.py,copied,0.0014,e7b2f3b03e11236751244997d6fef05a493b0d52093e52551ccd50c0d310ebc4,
E:\Projects\ECM\ecm_latent_space\src\download_hpa_data.py,E:\Projects\ECM\ecm-program-atlas\pipelines\legacy\download_hpa_data.py,copied,0.0017,7bf12375a3dc95788f9fbd993878ad06d41ac6b1e78a36da9fc228d24abc1c33,
E:\Projects\ECM\ecm_latent_space\src\build_ecm_matrix.py,E:\Projects\ECM\ecm-program-atlas\pipelines\01_build_matrisome_matrices.py,copied,0.0095,67162476b86d6760406cd3044c690183a8f7c138e9f5d192709d28b2eed556cb,
E:\Projects\ECM\ecm_latent_space\src\eda_ecm_matrix.py,E:\Projects\ECM\ecm-program-atlas\pipelines\legacy\eda_ecm_matrix.py,copied,0.0075,00a5bd1991b8cdf23dadcd741b21b32c5644b92f9b0403a9d5fc7e366a5a23ec,
E:\Projects\ECM\ecm_latent_space\src\ecm_specificity_test.py,E:\Projects\ECM\ecm-program-atlas\pipelines\02_run_ecm_specificity_controls.py,copied,0.0149,b3fb2966e2a57406ce6917d6532629bf041ae9fbd1291165fe7ee1dcc7853c87,
E:\Projects\ECM\ecm_latent_space\src\matrisome_category_analysis.py,E:\Projects\ECM\ecm-program-atlas\pipelines\03_run_category_benchmark.py,copied,0.0179,7c71a28d691e70e1b0ad3b6befdcb5a7f347135bb4ab4f63e98d028d2654f0cc,
E:\Projects\ECM\ecm_latent_space\src\cross_dataset_reproducibility.py,E:\Projects\ECM\ecm-program-atlas\pipelines\05_run_external_reproducibility.py,copied,0.0234,96303b1a0b57adf3c2e7be689c04eadab7bbd372b44f60be2332eddf74288c85,
E:\Projects\ECM\ecm_latent_space\src\latent_baseline_embeddings.py,E:\Projects\ECM\ecm-program-atlas\pipelines\04_run_nmf_program_discovery.py,copied,0.0214,e4e3d2e623f6994650191ec67836d28ee06e01846b452d8fdd021070f7a672ae,
E:\Projects\ECM\ecm_latent_space\src\plot_nmf_module_activity.py,E:\Projects\ECM\ecm-program-atlas\pipelines\legacy\plot_nmf_module_activity.py,copied,0.0109,f9a00183e5739483da8bc727fa6a755c9d5d640e50a4ed836ff034a4e9188d47,
E:\Projects\ECM\ecm_latent_space\src\collect_nmf_module_summaries.py,E:\Projects\ECM\ecm-program-atlas\pipelines\legacy\collect_nmf_module_summaries.py,copied,0.0012,2b9d9ff1a5f581326ad9797f0762e4f69ac469d2ef2129b31187941052e36c6f,
E:\Projects\ECM\ecm_latent_space\src\create_combined_nmf_module_annotations.py,E:\Projects\ECM\ecm-program-atlas\pipelines\legacy\create_combined_nmf_module_annotations.py,copied,0.0115,8ba0adbdbeed9b033f98fdeddeb48ac676d2a569a65c373320680e81e59abad6,
E:\Projects\ECM\ecm_latent_space\src\summarize_recurring_ecm_programs.py,E:\Projects\ECM\ecm-program-atlas\pipelines\legacy\summarize_recurring_ecm_programs.py,copied,0.0079,f32aca8d5193afc2d72a73c557849913f1d8b601ee0fe1ff41ee785f432a0a8c,
E:\Projects\ECM\ecm_latent_space\src\create_curated_ecm_program_summary.py,E:\Projects\ECM\ecm-program-atlas\pipelines\legacy\create_curated_ecm_program_summary.py,copied,0.0131,43949a49f7f64a517ee88a3fa107526568d22b2f4e6e6ea5d98e00e81a438c19,
E:\Projects\ECM\ecm_latent_space\src\compare_nmf_programs_across_datasets.py,E:\Projects\ECM\ecm-program-atlas\pipelines\legacy\compare_nmf_programs_across_datasets.py,copied,0.0145,9538857bcdcd325dafd8afeb30e099c40ce725b813e959b88827fefaa59c005b,
E:\Projects\ECM\ecm_latent_space\src\filter_external_program_reproducibility.py,E:\Projects\ECM\ecm-program-atlas\pipelines\legacy\filter_external_program_reproducibility.py,copied,0.0051,99641b96a4d784cc2f985dffdae3ec703b2f61926a74c4b037dcd9ea70d2123e,
E:\Projects\ECM\ecm_latent_space\src\build_final_results_package.py,E:\Projects\ECM\ecm-program-atlas\pipelines\legacy\build_final_results_package_v0_1.py,copied,0.0188,3656a8339f7606c1faa9fb2d82b3c4a9abea3881515054dd5d726af6c1b5b631,
E:\Projects\ECM\ecm_latent_space\src\create_manuscript_figure_table_plan.py,E:\Projects\ECM\ecm-program-atlas\pipelines\legacy\create_manuscript_figure_table_plan.py,copied,0.01,d81296c675d3dc654e9a5ed4355c94eeac8a2d637db37c81de888c8316e6addb,
