ecm_program,gene_rank_alphabetical,gene_symbol
CNS/neural ECM,1,BCAN
CNS/neural ECM,2,BGLAP
CNS/neural ECM,3,CHAD
CNS/neural ECM,4,CHADL
CNS/neural ECM,5,COL11A1
CNS/neural ECM,6,COL11A2
CNS/neural ECM,7,COL16A1
CNS/neural ECM,8,COL20A1
CNS/neural ECM,9,COL26A1
CNS/neural ECM,10,COL4A5
CNS/neural ECM,11,COL5A3
CNS/neural ECM,12,COL9A1
CNS/neural ECM,13,COL9A2
CNS/neural ECM,14,COL9A3
CNS/neural ECM,15,EDIL3
CNS/neural ECM,16,GLDN
CNS/neural ECM,17,HAPLN2
CNS/neural ECM,18,HAPLN4
CNS/neural ECM,19,LGI1
CNS/neural ECM,20,LGI3
CNS/neural ECM,21,LGI4
CNS/neural ECM,22,NCAN
CNS/neural ECM,23,NTNG2
CNS/neural ECM,24,SMOC1
CNS/neural ECM,25,SPARCL1
CNS/neural ECM,26,SPOCK1
CNS/neural ECM,27,SPOCK2
CNS/neural ECM,28,SPOCK3
CNS/neural ECM,29,TNR
CNS/neural ECM,30,VCAN
Epithelial/mucosal basement membrane ECM,1,ABI3BP
Epithelial/mucosal basement membrane ECM,2,AGRN
Epithelial/mucosal basement membrane ECM,3,BGN
Epithelial/mucosal basement membrane ECM,4,CCN1
Epithelial/mucosal basement membrane ECM,5,CHAD
Epithelial/mucosal basement membrane ECM,6,CHADL
Epithelial/mucosal basement membrane ECM,7,COL13A1
Epithelial/mucosal basement membrane ECM,8,COL16A1
Epithelial/mucosal basement membrane ECM,9,COL17A1
Epithelial/mucosal basement membrane ECM,10,COL18A1
Epithelial/mucosal basement membrane ECM,11,COL1A2
Epithelial/mucosal basement membrane ECM,12,COL21A1
Epithelial/mucosal basement membrane ECM,13,COL24A1
Epithelial/mucosal basement membrane ECM,14,COL27A1
Epithelial/mucosal basement membrane ECM,15,COL28A1
Epithelial/mucosal basement membrane ECM,16,COL3A1
Epithelial/mucosal basement membrane ECM,17,COL4A5
Epithelial/mucosal basement membrane ECM,18,COL4A6
Epithelial/mucosal basement membrane ECM,19,COL5A1
Epithelial/mucosal basement membrane ECM,20,COL5A3
Epithelial/mucosal basement membrane ECM,21,COL6A2
Epithelial/mucosal basement membrane ECM,22,COL6A3
Epithelial/mucosal basement membrane ECM,23,COL6A5
Epithelial/mucosal basement membrane ECM,24,COL7A1
Epithelial/mucosal basement membrane ECM,25,DCN
Epithelial/mucosal basement membrane ECM,26,DMBT1
Epithelial/mucosal basement membrane ECM,27,DPT
Epithelial/mucosal basement membrane ECM,28,EMILIN1
Epithelial/mucosal basement membrane ECM,29,EPYC
Epithelial/mucosal basement membrane ECM,30,FGL2
Epithelial/mucosal basement membrane ECM,31,FMOD
Epithelial/mucosal basement membrane ECM,32,HAPLN1
Epithelial/mucosal basement membrane ECM,33,HAPLN3
Epithelial/mucosal basement membrane ECM,34,HSPG2
Epithelial/mucosal basement membrane ECM,35,IGFBP6
Epithelial/mucosal basement membrane ECM,36,LAMA3
Epithelial/mucosal basement membrane ECM,37,LAMA5
Epithelial/mucosal basement membrane ECM,38,LAMB3
Epithelial/mucosal basement membrane ECM,39,LAMC2
Epithelial/mucosal basement membrane ECM,40,LGI4
Epithelial/mucosal basement membrane ECM,41,LUM
Epithelial/mucosal basement membrane ECM,42,MMRN1
Epithelial/mucosal basement membrane ECM,43,OGN
Epithelial/mucosal basement membrane ECM,44,PODN
Epithelial/mucosal basement membrane ECM,45,PODNL1
Epithelial/mucosal basement membrane ECM,46,POMZP3
Epithelial/mucosal basement membrane ECM,47,PRELP
Epithelial/mucosal basement membrane ECM,48,PRG2
Epithelial/mucosal basement membrane ECM,49,SPOCK1
Epithelial/mucosal basement membrane ECM,50,SPON2
Epithelial/mucosal basement membrane ECM,51,THBS1
Epithelial/mucosal basement membrane ECM,52,TNC
Epithelial/mucosal basement membrane ECM,53,TNXB
Epithelial/mucosal basement membrane ECM,54,VCAN
Epithelial/mucosal basement membrane ECM,55,VWA2
Epithelial/mucosal basement membrane ECM,56,VWA5A
Hepatic/plasma-associated ECM,1,ASPN
Hepatic/plasma-associated ECM,2,BGN
Hepatic/plasma-associated ECM,3,CHAD
Hepatic/plasma-associated ECM,4,COL11A2
Hepatic/plasma-associated ECM,5,COL16A1
Hepatic/plasma-associated ECM,6,COL18A1
Hepatic/plasma-associated ECM,7,COL26A1
Hepatic/plasma-associated ECM,8,COL27A1
Hepatic/plasma-associated ECM,9,COL5A3
Hepatic/plasma-associated ECM,10,COL6A1
Hepatic/plasma-associated ECM,11,COL6A2
Hepatic/plasma-associated ECM,12,COL7A1
Hepatic/plasma-associated ECM,13,COL9A3
Hepatic/plasma-associated ECM,14,CRELD2
Hepatic/plasma-associated ECM,15,DCN
Hepatic/plasma-associated ECM,16,ESM1
Hepatic/plasma-associated ECM,17,FGA
Hepatic/plasma-associated ECM,18,FGB
Hepatic/plasma-associated ECM,19,FGG
Hepatic/plasma-associated ECM,20,FGL1
Hepatic/plasma-associated ECM,21,HAPLN4
Hepatic/plasma-associated ECM,22,HSPG2
Hepatic/plasma-associated ECM,23,IGFALS
Hepatic/plasma-associated ECM,24,LRG1
Hepatic/plasma-associated ECM,25,LUM
Hepatic/plasma-associated ECM,26,OIT3
Hepatic/plasma-associated ECM,27,PODN
Hepatic/plasma-associated ECM,28,PRG4
Hepatic/plasma-associated ECM,29,SMOC1
Hepatic/plasma-associated ECM,30,SPON2
Hepatic/plasma-associated ECM,31,VTN
Hepatic/plasma-associated ECM,32,VWCE
Immune/lymphoid remodeling ECM,1,ABI3BP
Immune/lymphoid remodeling ECM,2,BGN
Immune/lymphoid remodeling ECM,3,COL13A1
Immune/lymphoid remodeling ECM,4,COL19A1
Immune/lymphoid remodeling ECM,5,COL22A1
Immune/lymphoid remodeling ECM,6,COL24A1
Immune/lymphoid remodeling ECM,7,COL27A1
Immune/lymphoid remodeling ECM,8,COL4A4
Immune/lymphoid remodeling ECM,9,COL6A1
Immune/lymphoid remodeling ECM,10,COL7A1
Immune/lymphoid remodeling ECM,11,COL8A2
Immune/lymphoid remodeling ECM,12,COL9A2
Immune/lymphoid remodeling ECM,13,COLQ
Immune/lymphoid remodeling ECM,14,CRELD1
Immune/lymphoid remodeling ECM,15,DCN
Immune/lymphoid remodeling ECM,16,EGFLAM
Immune/lymphoid remodeling ECM,17,ESM1
Immune/lymphoid remodeling ECM,18,FBLN7
Immune/lymphoid remodeling ECM,19,FGL2
Immune/lymphoid remodeling ECM,20,FMOD
Immune/lymphoid remodeling ECM,21,HAPLN3
Immune/lymphoid remodeling ECM,22,HSPG2
Immune/lymphoid remodeling ECM,23,IGFBP7
Immune/lymphoid remodeling ECM,24,LAMB1
Immune/lymphoid remodeling ECM,25,LAMC2
Immune/lymphoid remodeling ECM,26,LUM
