representation,representation_family,representation_kind,model,label_col,n_folds,mean_n_features,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std
matrisome_pca9,matrisome_pca,pca9,dense_mlp,tissue,5,9.0,0.9603259485612426,0.003112119402587676,0.9575979581935548,0.004164873072980572,0.9474768753031565,0.003446423006281146,0.9607930139629219,0.002987484701383054
curated_9_ecm_programs,curated_ecm,gene_set_scores,dense_mlp,tissue,5,9.0,0.9348612172141584,0.00391660482398378,0.9277817702248082,0.0049772222634750524,0.9107029884696335,0.0025114445848296468,0.9362733033597163,0.0035692360214470116
random_matrisome_programs_r5,random_matrisome,gene_set_scores,dense_mlp,tissue,5,9.0,0.9007384772090654,0.004259237998890774,0.897651506846309,0.003537255248221924,0.8689092697831301,0.0037654764603155116,0.903260306832611,0.0045591948481784475
random_matrisome_programs_r6,random_matrisome,gene_set_scores,dense_mlp,tissue,5,9.0,0.9071046600458365,0.003398945498031823,0.8933652960840336,0.004367861430339328,0.8726010955353667,0.004341601748404381,0.9093373826226419,0.003361465020208337
random_matrisome_programs_r2,random_matrisome,gene_set_scores,dense_mlp,tissue,5,9.0,0.8824038706391647,0.0038023542561609726,0.8863036818903977,0.0030285006042199405,0.8636272904167939,0.004055405336750254,0.8844251458868939,0.003780832008947733
random_matrisome_programs_r4,random_matrisome,gene_set_scores,dense_mlp,tissue,5,9.0,0.8796027501909854,0.005900788737646117,0.8713951290810451,0.007456454625345213,0.8355834117773945,0.004824859533840986,0.8828184276799073,0.0056347317864626
random_matrisome_programs_r10,random_matrisome,gene_set_scores,dense_mlp,tissue,5,9.0,0.861370002546473,0.002829222187386024,0.8700531535313601,0.004050038372856774,0.8296703672752921,0.005358041930000951,0.8635991263645769,0.002609117710529538
random_matrisome_programs_r8,random_matrisome,gene_set_scores,dense_mlp,tissue,5,9.0,0.8711484593837534,0.005397081453216796,0.8693487161680551,0.006407825311830349,0.8315021397281799,0.006179790962872643,0.8772018836130909,0.005156775235301761
random_matrisome_programs_r9,random_matrisome,gene_set_scores,dense_mlp,tissue,5,9.0,0.8770562770562769,0.004085165190762535,0.8671632577719943,0.005570492677518525,0.8364168804990127,0.00581770489312773,0.8801742759130942,0.004184363229647384
random_matrisome_programs_r1,random_matrisome,gene_set_scores,dense_mlp,tissue,5,9.0,0.8769034886681946,0.004262890340278384,0.8637922141925584,0.008365111883783702,0.8280025385770692,0.007578054740602468,0.8809117556018116,0.003862818940845065
