representation_family,model,label_col,n_representations,representations,accuracy_family_mean,accuracy_family_std,accuracy_family_min,accuracy_family_max,balanced_accuracy_family_mean,balanced_accuracy_family_std,balanced_accuracy_family_min,balanced_accuracy_family_max,macro_f1_family_mean,macro_f1_family_std,macro_f1_family_min,macro_f1_family_max,weighted_f1_family_mean,weighted_f1_family_std,weighted_f1_family_min,weighted_f1_family_max
matrisome_pca,dense_mlp,tissue,1,matrisome_pca9,0.9603259485612426,0.0,0.9603259485612426,0.9603259485612426,0.9575979581935548,0.0,0.9575979581935548,0.9575979581935548,0.9474768753031565,0.0,0.9474768753031565,0.9474768753031565,0.9607930139629219,0.0,0.9607930139629219,0.9607930139629219
curated_ecm,dense_mlp,tissue,1,curated_9_ecm_programs,0.9348612172141584,0.0,0.9348612172141584,0.9348612172141584,0.9277817702248082,0.0,0.9277817702248082,0.9277817702248082,0.9107029884696335,0.0,0.9107029884696335,0.9107029884696335,0.9362733033597163,0.0,0.9362733033597163,0.9362733033597163
random_matrisome,dense_mlp,tissue,10,random_matrisome_programs_r1; random_matrisome_programs_r10; random_matrisome_programs_r2; random_matrisome_programs_r3; random_matrisome_programs_r4; random_matrisome_programs_r5; random_matrisome_programs_r6; random_matrisome_programs_r7; random_matrisome_programs_r8; random_matrisome_programs_r9,0.8778915202444614,0.015194012895386569,0.8568882098293862,0.9071046600458365,0.8729501645853028,0.014231068710938424,0.8502280303237338,0.897651506846309,0.8405904619734089,0.019048247051275613,0.8184919551593011,0.8726010955353667,0.8811353137008927,0.014777462261617528,0.8610462009760061,0.9093373826226419
random_non_ecm,dense_mlp,tissue,10,random_non_ecm_programs_r1; random_non_ecm_programs_r10; random_non_ecm_programs_r2; random_non_ecm_programs_r3; random_non_ecm_programs_r4; random_non_ecm_programs_r5; random_non_ecm_programs_r6; random_non_ecm_programs_r7; random_non_ecm_programs_r8; random_non_ecm_programs_r9,0.6136287242169596,0.03066931648451333,0.5590527119938884,0.661624649859944,0.6078611913896392,0.028953446255428308,0.5472308056631203,0.6477903061498691,0.5461853376812482,0.028785355837501043,0.4899678379898555,0.5878367731625145,0.6273195974212978,0.029020713624400864,0.5800814304128558,0.6759969386826346
matrisome_pca,extra_trees,tissue,1,matrisome_pca9,0.9547237076648841,0.0,0.9547237076648841,0.9547237076648841,0.9349619825529366,0.0,0.9349619825529366,0.9349619825529366,0.9384824426243664,0.0,0.9384824426243664,0.9384824426243664,0.9544566220383859,0.0,0.9544566220383859,0.9544566220383859
curated_ecm,extra_trees,tissue,1,curated_9_ecm_programs,0.9170868347338936,0.0,0.9170868347338936,0.9170868347338936,0.869294181728024,0.0,0.869294181728024,0.869294181728024,0.8754028211714647,0.0,0.8754028211714647,0.8754028211714647,0.914288381468763,0.0,0.914288381468763,0.914288381468763
random_matrisome,extra_trees,tissue,10,random_matrisome_programs_r1; random_matrisome_programs_r10; random_matrisome_programs_r2; random_matrisome_programs_r3; random_matrisome_programs_r4; random_matrisome_programs_r5; random_matrisome_programs_r6; random_matrisome_programs_r7; random_matrisome_programs_r8; random_matrisome_programs_r9,0.8741023682200153,0.012028090034155652,0.858314234784823,0.8974789915966387,0.8264036582369906,0.017595650449424648,0.8009332674373526,0.8551962267114602,0.8307048135149276,0.018060865082317946,0.8045805296142134,0.8611205417065129,0.8721048729409551,0.011893778984315295,0.8579927047124762,0.8952141560091393
random_non_ecm,extra_trees,tissue,10,random_non_ecm_programs_r1; random_non_ecm_programs_r10; random_non_ecm_programs_r2; random_non_ecm_programs_r3; random_non_ecm_programs_r4; random_non_ecm_programs_r5; random_non_ecm_programs_r6; random_non_ecm_programs_r7; random_non_ecm_programs_r8; random_non_ecm_programs_r9,0.6545352686529158,0.027237634695950648,0.6071810542398778,0.7000254647313471,0.5642314209614334,0.028062561355743004,0.509894052080065,0.5990328355574066,0.554631341532589,0.028079289846463386,0.4992185166463445,0.5926910228643834,0.6466604217097125,0.026253646407774195,0.6017423705122662,0.6931232256792272
matrisome_pca,ft_transformer_lite,tissue,1,matrisome_pca9,0.9505984211866565,0.0,0.9505984211866565,0.9505984211866565,0.9442545647427784,0.0,0.9442545647427784,0.9442545647427784,0.9315749201745733,0.0,0.9315749201745733,0.9315749201745733,0.9513420081506169,0.0,0.9513420081506169,0.9513420081506169
curated_ecm,ft_transformer_lite,tissue,1,curated_9_ecm_programs,0.9135217723453017,0.0,0.9135217723453017,0.9135217723453017,0.9051985825028964,0.0,0.9051985825028964,0.9051985825028964,0.8816015516179808,0.0,0.8816015516179808,0.8816015516179808,0.916578382730005,0.0,0.916578382730005,0.916578382730005
