condition_group,matrix_name,ecm_program,metric,observed_value,random_mean,random_std,z_score_vs_random,empirical_p_higher_is_better,n_random_repeats,n_program_genes
all_samples,mean_log_nsaf,Vascular/stromal/interstitial ECM,mean_tissue_score,2.845863157230933,1.084627889459811,0.28530166945252183,6.173238562363955,0.000999000999000999,1000,44
all_samples,mean_log_nsaf,Vascular/stromal/interstitial ECM,max_tissue_score,4.9245717744469095,4.265823577805671,0.4081317389710942,1.614057750818282,0.04595404595404595,1000,44
all_samples,mean_log_nsaf,Vascular/stromal/interstitial ECM,top3_mean_tissue_score,4.455639095863601,2.5415771091132164,0.34394060225751255,5.565094595366507,0.000999000999000999,1000,44
all_samples,mean_log_nsaf,Vascular/stromal/interstitial ECM,variance_tissue_score,1.376915918831456,1.0506953825133551,0.19033454557018992,1.7139323570549625,0.05094905094905095,1000,44
all_samples,mean_log_nsaf,Epithelial/mucosal basement membrane ECM,mean_tissue_score,2.5256499128152217,1.0970310546704058,0.26138315025898573,5.46561190623535,0.000999000999000999,1000,56
all_samples,mean_log_nsaf,Epithelial/mucosal basement membrane ECM,max_tissue_score,4.954186427282443,4.288369248328057,0.35744508951848236,1.8627117800144202,0.01998001998001998,1000,56
all_samples,mean_log_nsaf,Epithelial/mucosal basement membrane ECM,top3_mean_tissue_score,4.159044877412869,2.5332482672501557,0.3151790873119535,5.158326410640169,0.000999000999000999,1000,56
all_samples,mean_log_nsaf,Epithelial/mucosal basement membrane ECM,variance_tissue_score,1.3680963840398093,1.035985658116127,0.1622429097185817,2.0469968548995117,0.01898101898101898,1000,56
all_samples,mean_log_nsaf,CNS/neural ECM,mean_tissue_score,1.582358350121378,1.0963259176184754,0.36441160391591193,1.3337457624292741,0.0989010989010989,1000,30
all_samples,mean_log_nsaf,CNS/neural ECM,max_tissue_score,4.9235113496627,4.275396486508931,0.5026784946229627,1.2893228377312864,0.0989010989010989,1000,30
all_samples,mean_log_nsaf,CNS/neural ECM,top3_mean_tissue_score,3.4902492894327537,2.61349209954183,0.4333422536463316,2.023244173660668,0.027972027972027972,1000,30
all_samples,mean_log_nsaf,CNS/neural ECM,variance_tissue_score,1.6646087638566982,1.109931922920801,0.22518271239799426,2.463230125568191,0.006993006993006993,1000,30
all_samples,mean_log_nsaf,Retinal/sensory ECM,mean_tissue_score,1.7329817769263542,1.096070647459195,0.29665807060193433,2.1469536566958523,0.024975024975024976,1000,47
all_samples,mean_log_nsaf,Retinal/sensory ECM,max_tissue_score,5.3635347603275045,4.3029473991993745,0.3909606881428217,2.7127723919410722,0.000999000999000999,1000,47
all_samples,mean_log_nsaf,Retinal/sensory ECM,top3_mean_tissue_score,3.817741023147274,2.5581907438367293,0.35438783445587946,3.5541577809645615,0.000999000999000999,1000,47
all_samples,mean_log_nsaf,Retinal/sensory ECM,variance_tissue_score,1.8929664271103215,1.0591597631140257,0.17967053037864988,4.6407536185209395,0.000999000999000999,1000,47
all_samples,mean_log_nsaf,Immune/lymphoid remodeling ECM,mean_tissue_score,2.292489715272491,1.0917093843216557,0.29663353993212777,4.048026164625833,0.000999000999000999,1000,41
all_samples,mean_log_nsaf,Immune/lymphoid remodeling ECM,max_tissue_score,4.826547708318303,4.277196937677203,0.4187389755493599,1.3119169762508618,0.07492507492507493,1000,41
all_samples,mean_log_nsaf,Immune/lymphoid remodeling ECM,top3_mean_tissue_score,4.020698046893364,2.556268334417987,0.34701871168863574,4.2200309757052645,0.000999000999000999,1000,41
all_samples,mean_log_nsaf,Immune/lymphoid remodeling ECM,variance_tissue_score,1.4072772967630627,1.0617245918011908,0.19692104911631272,1.7547778996331105,0.04595404595404595,1000,41
all_samples,mean_log_nsaf,Stromal remodeling ECM,mean_tissue_score,3.0592020051054556,1.0909312414771861,0.56098122378999,3.508621465671576,0.004004004004004004,1000,13
all_samples,mean_log_nsaf,Stromal remodeling ECM,max_tissue_score,5.001652701932203,4.308984619734143,0.7160898056474662,0.9672921981786531,0.15315315315315314,1000,13
all_samples,mean_log_nsaf,Stromal remodeling ECM,top3_mean_tissue_score,4.496223617435217,2.7536798551912973,0.7002299560350006,2.4885307279781967,0.01901901901901902,1000,13
all_samples,mean_log_nsaf,Stromal remodeling ECM,variance_tissue_score,1.5737912085090215,1.3533042857096689,0.48962219125259054,0.45032052619037843,0.25325325325325326,1000,13
all_samples,mean_log_nsaf,Renal/endothelial basement membrane ECM,mean_tissue_score,2.547669446693177,1.1103920047508578,0.4767254493763398,3.014895562682021,0.006993006993006993,1000,18
all_samples,mean_log_nsaf,Renal/endothelial basement membrane ECM,max_tissue_score,5.412348036415149,4.313005281883108,0.6457492353103407,1.7024298201510177,0.012987012987012988,1000,18
all_samples,mean_log_nsaf,Renal/endothelial basement membrane ECM,top3_mean_tissue_score,4.887656828815807,2.713855904493623,0.5703948238980983,3.8110460215370683,0.001998001998001998,1000,18
all_samples,mean_log_nsaf,Renal/endothelial basement membrane ECM,variance_tissue_score,2.8646191121365967,1.234590795399289,0.32823006813851263,4.96611515813182,0.000999000999000999,1000,18
all_samples,mean_log_nsaf,Hepatic/plasma-associated ECM,mean_tissue_score,2.7011328184184777,1.1011454543673687,0.34452640323164535,4.644019584691579,0.000999000999000999,1000,32
all_samples,mean_log_nsaf,Hepatic/plasma-associated ECM,max_tissue_score,5.0133702292842095,4.289970735479239,0.4768580277371291,1.5170123007843106,0.04595404595404595,1000,32
all_samples,mean_log_nsaf,Hepatic/plasma-associated ECM,top3_mean_tissue_score,4.2558209445374375,2.603508574067901,0.4039679353855005,4.0902067360686925,0.000999000999000999,1000,32
all_samples,mean_log_nsaf,Hepatic/plasma-associated ECM,variance_tissue_score,1.5041002476735095,1.10396695577254,0.22669285430489136,1.7650900074812625,0.04595404595404595,1000,32
all_samples,mean_log_nsaf,Reproductive-specialized ECM,mean_tissue_score,2.182819126086694,1.0892874578886436,0.41509931376481024,2.634385632392615,0.012987012987012988,1000,23
all_samples,mean_log_nsaf,Reproductive-specialized ECM,max_tissue_score,4.927784571582751,4.312804869200075,0.528030846280779,1.1646662438649686,0.12487512487512488,1000,23
all_samples,mean_log_nsaf,Reproductive-specialized ECM,top3_mean_tissue_score,3.9167510350178616,2.636801132867932,0.5012984781262546,2.5532690762080623,0.014985014985014986,1000,23
all_samples,mean_log_nsaf,Reproductive-specialized ECM,variance_tissue_score,1.583861496944848,1.1702003397131922,0.2790674580264547,1.4822980800306784,0.06693306693306693,1000,23
normal_like,mean_log_nsaf,Vascular/stromal/interstitial ECM,mean_tissue_score,3.764404293509198,2.031125200687931,0.6657832839515591,2.603368295061275,0.012987012987012988,1000,44
normal_like,mean_log_nsaf,Vascular/stromal/interstitial ECM,max_tissue_score,5.747674625973807,3.9073068079538515,0.802481385678461,2.2933464263024734,0.012987012987012988,1000,44
normal_like,mean_log_nsaf,Vascular/stromal/interstitial ECM,top3_mean_tissue_score,4.773763607273992,3.0330415556825114,0.7068753605318341,2.462558675523515,0.014985014985014986,1000,44
normal_like,mean_log_nsaf,Vascular/stromal/interstitial ECM,variance_tissue_score,1.4199654031778,1.5678724989995922,0.7512308030926114,-0.19688635664685114,0.5144855144855145,1000,44
normal_like,mean_log_nsaf,Epithelial/mucosal basement membrane ECM,mean_tissue_score,3.0156399290647298,2.0350238977817683,0.5676906317910125,1.7273775122714403,0.052947052947052944,1000,56
normal_like,mean_log_nsaf,Epithelial/mucosal basement membrane ECM,max_tissue_score,4.422379686893,3.782952956849163,0.7028999404386247,0.9096980853986425,0.1848151848151848,1000,56
normal_like,mean_log_nsaf,Epithelial/mucosal basement membrane ECM,top3_mean_tissue_score,4.0363128585023995,3.0178171669770744,0.6019160218051189,1.6920893523832488,0.052947052947052944,1000,56
normal_like,mean_log_nsaf,Epithelial/mucosal basement membrane ECM,variance_tissue_score,1.2158806222486838,1.4394382747228012,0.5755068683605938,-0.3884534916341667,0.6003996003996004,1000,56
normal_like,mean_log_nsaf,CNS/neural ECM,mean_tissue_score,2.2680261397257406,2.0319965386437864,0.8330290566696432,0.28333897742483816,0.3663663663663664,1000,30
normal_like,mean_log_nsaf,CNS/neural ECM,max_tissue_score,4.629440235806892,4.14600459652407,1.0190691690945592,0.47438942708114096,0.3183183183183183,1000,30
normal_like,mean_log_nsaf,CNS/neural ECM,top3_mean_tissue_score,3.3337154594879146,3.098423611453177,0.9105968239295853,0.2583930031947183,0.38238238238238237,1000,30
normal_like,mean_log_nsaf,CNS/neural ECM,variance_tissue_score,2.0226039905392827,1.9462326765050304,1.119956938807244,0.06819129502924276,0.35235235235235235,1000,30
normal_like,mean_log_nsaf,Retinal/sensory ECM,mean_tissue_score,2.3970440041344,2.0239376340648736,0.6259473145438157,0.5960667318166271,0.23076923076923078,1000,47
normal_like,mean_log_nsaf,Retinal/sensory ECM,max_tissue_score,5.173561223097718,3.8774497888887107,0.7898816293469942,1.64089325039819,0.057942057942057944,1000,47
normal_like,mean_log_nsaf,Retinal/sensory ECM,top3_mean_tissue_score,3.397107673467339,3.0234822213777375,0.6701481931108693,0.557526612666385,0.2547452547452547,1000,47
normal_like,mean_log_nsaf,Retinal/sensory ECM,variance_tissue_score,2.0241351869377238,1.5524188316584273,0.7249121785671357,0.6507220725849755,0.18981018981018982,1000,47
normal_like,mean_log_nsaf,Immune/lymphoid remodeling ECM,mean_tissue_score,2.5403726526288573,1.9845101313816513,0.6330020413717441,0.8781370120744424,0.17482517482517482,1000,41
normal_like,mean_log_nsaf,Immune/lymphoid remodeling ECM,max_tissue_score,3.9016478757768267,3.88752615346065,0.8657790508508059,0.016311000251506926,0.4675324675324675,1000,41
normal_like,mean_log_nsaf,Immune/lymphoid remodeling ECM,top3_mean_tissue_score,3.6446893102935505,3.004753832940544,0.6910345566978957,0.9260542344089622,0.16283716283716285,1000,41
normal_like,mean_log_nsaf,Immune/lymphoid remodeling ECM,variance_tissue_score,1.3624351374537118,1.6364548278216984,0.8320454786006894,-0.3293325874792627,0.5874125874125874,1000,41
normal_like,mean_log_nsaf,Stromal remodeling ECM,mean_tissue_score,3.8292307697203625,2.0229173630004924,1.1604703313968887,1.5565356199546807,0.07675194660734148,1000,13
normal_like,mean_log_nsaf,Stromal remodeling ECM,max_tissue_score,6.187841118981049,4.704782890338706,1.2581407333743093,1.1787697427654285,0.09121245828698554,1000,13
normal_like,mean_log_nsaf,Stromal remodeling ECM,top3_mean_tissue_score,4.994945338163137,3.2127065168854516,1.3290076789952432,1.3410297392902155,0.11568409343715239,1000,13
normal_like,mean_log_nsaf,Stromal remodeling ECM,variance_tissue_score,2.73805883277648,2.9914616111088104,1.8287793342999188,-0.13856388990164112,0.492769744160178,1000,13
normal_like,mean_log_nsaf,Renal/endothelial basement membrane ECM,mean_tissue_score,2.2924082014750002,2.015541601152079,1.0636944565117068,0.260287715732656,0.34674922600619196,1000,18
normal_like,mean_log_nsaf,Renal/endothelial basement membrane ECM,max_tissue_score,4.027710230481677,4.441396149767608,1.2111363852161119,-0.3415684016561959,0.6119711042311662,1000,18
normal_like,mean_log_nsaf,Renal/endothelial basement membrane ECM,top3_mean_tissue_score,3.2525866228699294,3.1642420406529634,1.199536461622379,0.07364893443712371,0.43343653250773995,1000,18
normal_like,mean_log_nsaf,Renal/endothelial basement membrane ECM,variance_tissue_score,1.6428681151246947,2.5394932565652586,1.5275823859596014,-0.5869569783480577,0.6604747162022704,1000,18
normal_like,mean_log_nsaf,Hepatic/plasma-associated ECM,mean_tissue_score,3.5050858274752454,2.050996641200642,0.7587482865889453,1.9164315913142371,0.041123370110330994,1000,32
normal_like,mean_log_nsaf,Hepatic/plasma-associated ECM,max_tissue_score,4.240309613467522,4.074867729551221,0.966424060093668,0.17118974035090395,0.3721163490471414,1000,32
normal_like,mean_log_nsaf,Hepatic/plasma-associated ECM,top3_mean_tissue_score,4.145334017642157,3.1102292011497013,0.8340227526581824,1.2410990146172731,0.10330992978936811,1000,32
