condition_group,ecm_program,observed_detection_fraction,random_mean,random_std,z_score_vs_random,empirical_p_higher_is_better,n_random_repeats,n_program_genes
all_samples,Vascular/stromal/interstitial ECM,0.8181818181818182,0.42611363636363636,0.07412239861934126,5.289469703101012,0.000999000999000999,1000,44
all_samples,Epithelial/mucosal basement membrane ECM,0.7678571428571429,0.4258214285714286,0.0633636121548045,5.3979832060407515,0.000999000999000999,1000,56
all_samples,CNS/neural ECM,0.5666666666666667,0.4215333333333333,0.0883157448131023,1.643346083311316,0.08291708291708291,1000,30
all_samples,Retinal/sensory ECM,0.723404255319149,0.42770212765957444,0.07155679098033785,4.132411803386022,0.000999000999000999,1000,47
all_samples,Immune/lymphoid remodeling ECM,0.7804878048780488,0.42902439024390254,0.07550537044332903,4.654813459897387,0.000999000999000999,1000,41
all_samples,Stromal remodeling ECM,0.6923076923076923,0.4280769230769231,0.13848324650377367,1.908034191150833,0.06593406593406594,1000,13
all_samples,Renal/endothelial basement membrane ECM,0.8333333333333334,0.429,0.11356858610406137,3.5602568210442294,0.000999000999000999,1000,18
all_samples,Hepatic/plasma-associated ECM,0.75,0.42990625,0.08557851412894488,3.7403518074373294,0.000999000999000999,1000,32
all_samples,Reproductive-specialized ECM,0.5217391304347826,0.42860869565217385,0.10223740271044646,0.9109233246698355,0.24075924075924077,1000,23
normal_like,Vascular/stromal/interstitial ECM,0.6363636363636364,0.16211363636363638,0.05404584623092816,8.774957431022823,0.000999000999000999,1000,44
normal_like,Epithelial/mucosal basement membrane ECM,0.6071428571428571,0.16251785714285713,0.04766192500644313,9.328725181366337,0.000999000999000999,1000,56
normal_like,CNS/neural ECM,0.3,0.15953333333333336,0.06864113153402705,2.0463920615445264,0.04795204795204795,1000,30
normal_like,Retinal/sensory ECM,0.425531914893617,0.1622340425531915,0.052723539554355256,4.993933915779289,0.000999000999000999,1000,47
normal_like,Immune/lymphoid remodeling ECM,0.6097560975609756,0.1599756097560976,0.055969019139000355,8.036240311588054,0.000999000999000999,1000,41
normal_like,Stromal remodeling ECM,0.5384615384615384,0.161,0.09886943763490628,3.8177777429602164,0.002997002997002997,1000,13
normal_like,Renal/endothelial basement membrane ECM,0.8333333333333334,0.1613888888888889,0.0849893841467266,7.90621618441654,0.000999000999000999,1000,18
normal_like,Hepatic/plasma-associated ECM,0.5625,0.16034375,0.06511844062742327,6.175765975431548,0.000999000999000999,1000,32
normal_like,Reproductive-specialized ECM,0.43478260869565216,0.1613478260869565,0.07790607608707333,3.509800471828227,0.003996003996003996,1000,23
disease_like,Vascular/stromal/interstitial ECM,0.6363636363636364,0.17354545454545456,0.05505149435453165,8.407004882331304,0.000999000999000999,1000,44
disease_like,Epithelial/mucosal basement membrane ECM,0.6607142857142857,0.17528571428571427,0.049143550522379856,9.87776760670779,0.000999000999000999,1000,56
disease_like,CNS/neural ECM,0.3333333333333333,0.17423333333333335,0.06942468988294524,2.2916919077096836,0.028971028971028972,1000,30
disease_like,Retinal/sensory ECM,0.425531914893617,0.17308510638297872,0.05497211297807356,4.5922704228474975,0.000999000999000999,1000,47
disease_like,Immune/lymphoid remodeling ECM,0.6341463414634146,0.17046341463414638,0.058152006821951756,7.973635858328331,0.000999000999000999,1000,41
disease_like,Stromal remodeling ECM,0.5384615384615384,0.17315384615384616,0.10479212601000787,3.486022339815919,0.001998001998001998,1000,13
disease_like,Renal/endothelial basement membrane ECM,0.8333333333333334,0.17161111111111108,0.08902154418541793,7.4332817777678475,0.000999000999000999,1000,18
disease_like,Hepatic/plasma-associated ECM,0.59375,0.17328125,0.06613236500109564,6.357987499661232,0.000999000999000999,1000,32
disease_like,Reproductive-specialized ECM,0.391304347826087,0.17326086956521738,0.07806738157617867,2.793016415544837,0.011988011988011988,1000,23
uncertain,Vascular/stromal/interstitial ECM,0.8181818181818182,0.4048863636363636,0.07180075937895436,5.7561432235575545,0.000999000999000999,1000,44
uncertain,Epithelial/mucosal basement membrane ECM,0.7321428571428571,0.400375,0.06453527902212056,5.140875846049075,0.000999000999000999,1000,56
uncertain,CNS/neural ECM,0.5666666666666667,0.40063333333333334,0.08762006713678062,1.8949236032214456,0.04995004995004995,1000,30
uncertain,Retinal/sensory ECM,0.723404255319149,0.40023404255319145,0.07100908012448538,4.551111100149597,0.000999000999000999,1000,47
uncertain,Immune/lymphoid remodeling ECM,0.7317073170731707,0.40387804878048794,0.07512038723825316,4.364051895165737,0.000999000999000999,1000,41
uncertain,Stromal remodeling ECM,0.6923076923076923,0.40884615384615386,0.13615401799006774,2.081918276419992,0.03296703296703297,1000,13
uncertain,Renal/endothelial basement membrane ECM,0.8333333333333334,0.40222222222222226,0.11472813631063085,3.757675536050382,0.001998001998001998,1000,18
uncertain,Hepatic/plasma-associated ECM,0.71875,0.3989375,0.08401818344203175,3.8064676823280075,0.000999000999000999,1000,32
uncertain,Reproductive-specialized ECM,0.4782608695652174,0.40343478260869564,0.10103958272405031,0.740562113769607,0.29270729270729273,1000,23
